Accession	Gene_name	Protein_name
A8MYU2	KCNU1;KCNMA3;KCNMC1;SLO3	Potassium channel subfamily U member 1
A9Z1Z3	FER1L4;C20orf124	Fer-1-like protein 4
B0I1T2	MYO1G;HA2	Unconventional myosin-Ig
B0YJA4	THY1;hCG_14965	Thy-1 cell surface antigen, isoform CRA_a
B1AJZ9	FHAD1;KIAA1937	Forkhead-associated domain-containing protein 1
B1B6Q4	HLA-A	MHC class I antigen
B2CI53	NA	Sodium bicarbonate cotransporter 3
B2CW77	KLLN	Killin
B2R701	NA	cDNA, FLJ93202, Homo sapiens protease inhibitor 16 , mRNA
B2R7T6	NA	cDNA, FLJ93596, highly similar to Homo sapiens sulfide quinone reductase-like , mRNA
B2RDY9	NA	Adenylyl cyclase-associated protein
B2RPK0	HMGB1P1;HMG1L1;HMGB1L1	Putative high mobility group protein B1-like 1
B2RTY4	MYO9A;MYR7	Unconventional myosin-IXa
B3KUB6	NA	cDNA FLJ39529 fis, clone PUAEN2004067, highly similar to Band 4.1-like protein 1
B3KVT5	NA	Liprin-alpha-2
B4DDF9	ANXA4	Annexin
B4DMH5	NA	cDNA FLJ55107, highly similar to Cell division control protein 42 homolog
B4DPY0	NA	Glutathione peroxidase
B4DXK4	KRT72	Keratin, type II cytoskeletal 72
B5A9M9	HLA-A	MHC class I antigen
B7Z9B1	NA	cDNA FLJ52398, highly similar to Cadherin-13
B7ZAQ6-2	GPR89A	Isoform 2 of Golgi pH regulator A
B8ZZQ7	NA	Mitochondrial inner membrane protein
C7FDR3	HLA-B	MHC class I antigen
C9JGY8	JAZF1	Juxtaposed with another zinc finger protein 1
C9JSZ5	NA	DDRGK domain-containing protein 1
O00116	AGPS;AAG5	Alkyldihydroxyacetonephosphate synthase, peroxisomal
O00151	PDLIM1;CLIM1;CLP36	PDZ and LIM domain protein 1
O00154	ACOT7;BACH	Cytosolic acyl coenzyme A thioester hydrolase
O00159	MYO1C	Unconventional myosin-Ic
O00159-3	MYO1C	Isoform 3 of Unconventional myosin-Ic
O00160	MYO1F	Unconventional myosin-If
O00161	SNAP23	Synaptosomal-associated protein 23
O00161-1	SNAP23 	Synaptosomal-associated protein 23
O00165	HAX1;HS1BP1	HCLS1-associated protein X-1
O00182	LGALS9	Galectin-9
O00186	STXBP3	Syntaxin-binding protein 3
O00192	ARVCF	Armadillo repeat protein deleted in velo-cardio-facial syndrome
O00194	RAB27B	Ras-related protein Rab-27B
O00203	AP3B1;ADTB3A	AP-3 complex subunit beta-1
O00214	LGALS8	Galectin-8
O00217	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial
O00220	TNFRSF10A;APO2;DR4;TRAILR1	Tumor necrosis factor receptor superfamily member 10A
O00231	PSMD11	26S proteasome non-ATPase regulatory subunit 11
O00232	PSMD12	26S proteasome non-ATPase regulatory subunit 12
O00263	NA	Calpain-5
O00264	PGRMC1;HPR6.6;PGRMC	Membrane-associated progesterone receptor component 1
O00299	CLIC1;G6;NCC27	Chloride intracellular channel protein 1
O00303	EIF3F;EIF3S5	Eukaryotic translation initiation factor 3 subunit F
O00327	ARNTL;BHLHE5;BMAL1;MOP3;PASD3	Aryl hydrocarbon receptor nuclear translocator-like protein 1
O00330	PDHX;PDX1	Pyruvate dehydrogenase protein X component, mitochondrial
O00410	IPO5;KPNB3;RANBP5	Importin-5
O00410-2	IPO5	Isoform 2 of Importin-5
O00425	IGF2BP3;IMP3;KOC1;VICKZ3	Insulin-like growth factor 2 mRNA-binding protein 3
O00425-1	IGF2BP3 	Insulin-like growth factor 2 mRNA-binding protein 3
O00461	GOLIM4;GIMPC;GOLPH4;GPP130	Golgi integral membrane protein 4
O00468	AGRN;AGRIN	Agrin
O00469	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
O00479	HMGN4;HMG17L3;NHC	High mobility group nucleosome-binding domain-containing protein 4
O00483	NDUFA4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4
O00560	SDCBP;MDA9;SYCL	Syntenin-1
O00567	NOP56;NOL5A	Nucleolar protein 56
O00571	DDX3X;DBX;DDX3	ATP-dependent RNA helicase DDX3X
O00584	RNASET2;RNASE6PL	Ribonuclease T2
O00592	PODXL;PCLP;PCLP1	Podocalyxin
O00623	PEX12;PAF3	Peroxisome assembly protein 12
O00629	KPNA4;QIP1	Importin subunit alpha-3
O00743	PPP6C;PPP6	Serine/threonine-protein phosphatase 6 catalytic subunit
O00754	MAN2B1;LAMAN;MANB	Lysosomal alpha-mannosidase
O00767	SCD	Acyl-CoA desaturase
O08547	Sec22b;Sec22l1	Vesicle-trafficking protein SEC22b
O14494	PPAP2A;LPP1	Lipid phosphate phosphohydrolase 1
O14495	PPAP2B;LPP3	Lipid phosphate phosphohydrolase 3
O14498	ISLR;UNQ189/PRO215	Immunoglobulin superfamily containing leucine-rich repeat protein
O14514	BAI1	Brain-specific angiogenesis inhibitor 1
O14520	AQP7;AQP7L;AQP9	Aquaporin-7
O14527	NA	CAP-Gly domain-containing linker protein 2
O14548	COX7A2L;COX7AR;COX7RP	Cytochrome c oxidase subunit 7A-related protein, mitochondrial
O14558	HSPB6	Heat shock protein beta-6
O14561	NDUFAB1	Acyl carrier protein, mitochondrial
O14569	CYB561D2;101F6;LUCA12.2	Cytochrome b561 domain-containing protein 2
O14579	COPE	Coatomer subunit epsilon
O14607	UTY	Histone demethylase UTY
O14638	ENPP3;PDNP3	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3
O14641	DVL2	Segment polarity protein dishevelled homolog DVL-2
O14645	DNALI1	Axonemal dynein light intermediate polypeptide 1
O14653	GOSR2;GS27	Golgi SNAP receptor complex member 2
O14655	NA	Transportin-2
O14656	TOR1A;DQ2;DYT1;TA;TORA	Torsin-1A
O14658	NA	Ras-related C3 botulinum toxin substrate 3
O14662	STX16	Syntaxin-16
O14672	ADAM10;KUZ;MADM	Disintegrin and metalloproteinase domain-containing protein 10
O14684	PTGES;MGST1L1;MPGES1;PGES;PIG12	Prostaglandin E synthase
O14686	KMT2D;ALR;MLL2;MLL4	Histone-lysine N-methyltransferase 2D
O14733	MAP2K7;JNKK2;MEK7;MKK7;PRKMK7;SKK4	Dual specificity mitogen-activated protein kinase kinase 7
O14734	ACOT8;ACTEIII;PTE1;PTE2	Acyl-coenzyme A thioesterase 8
O14744	PRMT5;HRMT1L5;IBP72;JBP1;SKB1	Protein arginine N-methyltransferase 5
O14745	SLC9A3R1;NHERF;NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1
O14763	TNFRSF10B;DR5;KILLER;TRAILR2;TRICK2;ZTNFR9;UNQ160/PRO186	Tumor necrosis factor receptor superfamily member 10B
O14773	TPP1;CLN2;GIG1;UNQ267/PRO304	Tripeptidyl-peptidase 1
O14776	TCERG1;CA150;TAF2S	Transcription elongation regulator 1
O14786	NRP1;NRP;VEGF165R	Neuropilin-1
O14787	TNPO2	Transportin-2
O14818	PSMA7;HSPC	Proteasome subunit alpha type-7
O14828	SCAMP3;C1orf3;PROPIN1	Secretory carrier-associated membrane protein 3
O14828-1	SCAMP3 	Secretory carrier-associated membrane protein 3
O14829	PPEF1;PPEF;PPP7C	Serine/threonine-protein phosphatase with EF-hands 1
O14879	IFIT3;CIG-49;IFI60;IFIT4;ISG60	Interferon-induced protein with tetratricopeptide repeats 3
O14880	MGST3	Microsomal glutathione S-transferase 3
O14907	TAX1BP3;TIP1	Tax1-binding protein 3
O14925	TIMM23;TIM23	Mitochondrial import inner membrane translocase subunit Tim23
O14929	HAT1;KAT1	Histone acetyltransferase type B catalytic subunit
O14936	CASK;LIN2	Peripheral plasma membrane protein CASK
O14949	UQCRQ	Cytochrome b-c1 complex subunit 8
O14950	MYL12B;MRLC2;MYLC2B	Myosin regulatory light chain 12B
O14974	PPP1R12A;MBS;MYPT1	Protein phosphatase 1 regulatory subunit 12A
O14975	SLC27A2;ACSVL1;FACVL1;FATP2;VLACS	Very long-chain acyl-CoA synthetase
O14979	HNRNPDL;HNRPDL;JKTBP	Heterogeneous nuclear ribonucleoprotein D-like
O14980	XPO1;CRM1	Exportin-1
O14981	BTAF1;TAF172	TATA-binding protein-associated factor 172
O14983	ATP2A1	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
O15020	SPTBN2;KIAA0302;SCA5	Spectrin beta chain, non-erythrocytic 2
O15031	PLXNB2;KIAA0315	Plexin-B2
O15050	TRANK1;KIAA0342;LBA1	TPR and ankyrin repeat-containing protein 1
O15054	KDM6B;JMJD3;KIAA0346	Lysine-specific demethylase 6B
O15063	KIAA0355	Uncharacterized protein KIAA0355
O15117	FYB;SLAP130	FYN-binding protein
O15118	NPC1	Niemann-Pick C1 protein
O15120	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta
O15121	DEGS1;DES1;MLD;MIG15	Sphingolipid delta
O15126	SCAMP1;SCAMP	Secretory carrier-associated membrane protein 1
O15127	SCAMP2	Secretory carrier-associated membrane protein 2
O15143	ARPC1B;ARC41	Actin-related protein 2/3 complex subunit 1B
O15144	ARPC2;ARC34;PRO2446	Actin-related protein 2/3 complex subunit 2
O15145	ARPC3;ARC21	Actin-related protein 2/3 complex subunit 3
O15146	MUSK	Muscle, skeletal receptor tyrosine-protein kinase
O15155	BET1	BET1 homolog
O15162	PLSCR1	Phospholipid scramblase 1
O15169	AXIN1;AXIN	Axin-1
O15173	PGRMC2;DG6;PMBP	Membrane-associated progesterone receptor component 2
O15187	TIAL1;hCG_40603	T-cluster binding protein
O15194	CTDSPL;C3orf8;NIF1;NIFL;SCP3;YA22	CTD small phosphatase-like protein
O15211	RGL2;RAB2L	Ral guanine nucleotide dissociation stimulator-like 2
O15212	PFDN6;HKE2;PFD6	Prefoldin subunit 6
O15228	GNPAT;DAPAT;DHAPAT	Dihydroxyacetone phosphate acyltransferase
O15229	KMO	Kynurenine 3-monooxygenase
O15230	LAMA5;KIAA0533;KIAA1907	Laminin subunit alpha-5
O15239	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1
O15240	VGF	Neurosecretory protein VGF
O15258	RER1	Protein RER1
O15260	SURF4;SURF-4	Surfeit locus protein 4
O15269	SPTLC1;LCB1	Serine palmitoyltransferase 1
O15270	SPTLC2;KIAA0526;LCB2	Serine palmitoyltransferase 2
O15320	CTAGE5;MEA11;MEA6;MGEA11;MGEA6	cTAGE family member 5
O15347	HMGB3;HMG2A;HMG4	High mobility group protein B3
O15371	EIF3D;EIF3S7	Eukaryotic translation initiation factor 3 subunit D
O15394	NCAM2;NCAM21	Neural cell adhesion molecule 2
O15397	IPO8;RANBP8	Importin-8
O15400	STX7	Syntaxin-7
O15400-2	STX7	Isoform 2 of Syntaxin-7
O15427	SLC16A3;MCT4	Monocarboxylate transporter 4
O15439	ABCC4;MRP4	Multidrug resistance-associated protein 4
O15460	P4HA2;UNQ290/PRO330	Prolyl 4-hydroxylase subunit alpha-2
O15484	CAPN5;NCL3	Calpain-5
O15498	YKT6	Synaptobrevin homolog YKT6
O15509	NA	Actin-related protein 2/3 complex subunit 4
O15511	ARPC5;ARC16	Actin-related protein 2/3 complex subunit 5
O15524	SOCS1;SSI1;TIP3	Suppressor of cytokine signaling 1
O15533	TAPBP;NGS17;TAPA	Tapasin
O15533-2	TAPBP	Isoform 2 of Tapasin
O15540	FABP7;BLBP;FABPB;MRG	Fatty acid-binding protein, brain
O15551	CLDN3;C7orf1;CPETR2	Claudin-3
O15554	KCNN4;IK1;IKCA1;KCA4;SK4	Intermediate conductance calcium-activated potassium channel protein 4
O35274	Ppp1r9b	Neurabin-2
O43143	DHX15;DBP1;DDX15	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15
O43148	RNMT;KIAA0398	mRNA cap guanine-N7 methyltransferase
O43156	TTI1;KIAA0406;SMG10	TELO2-interacting protein 1 homolog
O43166	SIPA1L1;E6TP1;KIAA0440	Signal-induced proliferation-associated 1-like protein 1
O43169	CYB5B;CYB5M;OMB5	Cytochrome b5 type B
O43172	PRPF4;PRP4	U4/U6 small nuclear ribonucleoprotein Prp4
O43175	PHGDH;PGDH3	D-3-phosphoglycerate dehydrogenase
O43181	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial
O43184	ADAM12;MLTN;UNQ346/PRO545	Disintegrin and metalloproteinase domain-containing protein 12
O43242	PSMD3	26S proteasome non-ATPase regulatory subunit 3
O43264	ZW10	Centromere/kinetochore protein zw10 homolog
O43292	GPAA1;GAA1	Glycosylphosphatidylinositol anchor attachment 1 protein
O43292-1	GPAA1 	Glycosylphosphatidylinositol anchor attachment 1 protein
O43307	ARHGEF9;ARHDH9;KIAA0424	Rho guanine nucleotide exchange factor 9
O43324	EEF1E1;AIMP3;P18	Eukaryotic translation elongation factor 1 epsilon-1
O43390	HNRNPR;HNRPR	Heterogeneous nuclear ribonucleoprotein R
O43396	TXNL1;TRP32;TXL;TXNL	Thioredoxin-like protein 1
O43399	TPD52L2	Tumor protein D54
O43402	EMC8;C16orf2;C16orf4;COX4AL;COX4NB;FAM158B;NOC4	ER membrane protein complex subunit 8
O43451	MGAM;MGA;MGAML	Maltase-glucoamylase, intestinal
O43488	AKR7A2;AFAR;AFAR1;AKR7	Aflatoxin B1 aldehyde reductase member 2
O43490	PROM1;PROML1;MSTP061	Prominin-1
O43491	EPB41L2	Band 4.1-like protein 2
O43493	TGOLN2;TGN46;TGN51	Trans-Golgi network integral membrane protein 2
O43493-6	TGOLN2	Isoform 6 of Trans-Golgi network integral membrane protein 2
O43504	LAMTOR5;HBXIP;XIP	Ragulator complex protein LAMTOR5
O43505	B3GNT1;B3GNT6	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase
O43526	KCNQ2	Potassium voltage-gated channel subfamily KQT member 2
O43556	SGCE;ESG;UNQ433/PRO840	Epsilon-sarcoglycan
O43561	LAT	Linker for activation of T-cells family member 1
O43572	AKAP10	A-kinase anchor protein 10, mitochondrial
O43592	XPOT	Exportin-T
O43609	SPRY1	Protein sprouty homolog 1
O43615	TIMM44;MIMT44;TIM44	Mitochondrial import inner membrane translocase subunit TIM44
O43617	TRAPPC3;BET3;CDABP0066	Trafficking protein particle complex subunit 3
O43633	CHMP2A;BC2;CHMP2	Charged multivesicular body protein 2a
O43655	NA	Receptor-type tyrosine-protein phosphatase T
O43657	TSPAN6;TM4SF6;UNQ767/PRO1560	Tetraspanin-6
O43663	PRC1	Protein regulator of cytokinesis 1
O43670	ZNF207;BUGZ	BUB3-interacting and GLEBS motif-containing protein ZNF207
O43674	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial
O43676	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3
O43678	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2
O43684	BUB3	Mitotic checkpoint protein BUB3
O43688-1	PPAP2C 	Lipid phosphate phosphohydrolase 2
O43707	ACTN4	Alpha-actinin-4
O43736	ITM2A;UNQ603/PRO1189	Integral membrane protein 2A
O43738	NA	Activating signal cointegrator 1 complex subunit 3
O43747	AP1G1;ADTG;CLAPG1	AP-1 complex subunit gamma-1
O43752	STX6	Syntaxin-6
O43772	SLC25A20;CAC;CACT	Mitochondrial carnitine/acylcarnitine carrier protein
O43776	NARS	Asparagine--tRNA ligase, cytoplasmic
O43795	MYO1B	Unconventional myosin-Ib
O43808	SLC25A17;PMP34	Peroxisomal membrane protein PMP34
O43809	NUDT21;CFIM25;CPSF25;CPSF5	Cleavage and polyadenylation specificity factor subunit 5
O43813	LANCL1;GPR69A	LanC-like protein 1
O43815	STRN	Striatin
O43826	SLC37A4;G6PT;G6PT1;PRO0685;TRG19	Glucose-6-phosphate translocase
O43826-1	SLC37A4 	Glucose-6-phosphate translocase
O43837	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial
O43852	CALU	Calumenin
O43853	NA	Collagen alpha-1(XII) chain
O43854	EDIL3;DEL1	EGF-like repeat and discoidin I-like domain-containing protein 3
O43895	XPNPEP2	Xaa-Pro aminopeptidase 2
O43920	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5
O60220	TIMM8A;DDP;DDP1;TIM8A	Mitochondrial import inner membrane translocase subunit Tim8 A
O60229	KALRN;DUET;DUO;HAPIP;TRAD	Kalirin
O60245	PCDH7;BHPCDH	Protocadherin-7
O60251	NA	Ribosomal protein L28
O60262	GNG7;GNGT7	Guanine nucleotide-binding protein G subunit gamma-7
O60264	SMARCA5;SNF2H;WCRF135	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5
O60311	NA	Coiled-coil domain-containing protein 144A
O60313	OPA1;KIAA0567	Dynamin-like 120 kDa protein, mitochondrial
O60319	NA	Endoplasmic reticulum resident protein 44
O60343	TBC1D4;AS160;KIAA0603	TBC1 domain family member 4
O60361	NME2P1	Putative nucleoside diphosphate kinase
O60443	DFNA5;ICERE1	Non-syndromic hearing impairment protein 5
O60462	NRP2;VEGF165R2	Neuropilin-2
O60476	MAN1A2;MAN1B	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB
O60488	ACSL4;ACS4;FACL4;LACS4	Long-chain-fatty-acid--CoA ligase 4
O60494	CUBN;IFCR	Cubilin
O60499	STX10;SYN10	Syntaxin-10
O60506	SYNCRIP;HNRPQ;NSAP1	Heterogeneous nuclear ribonucleoprotein Q
O60506-4	SYNCRIP	Isoform 4 of Heterogeneous nuclear ribonucleoprotein Q
O60568	PLOD3	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
O60610	DIAPH1;DIAP1	Protein diaphanous homolog 1
O60637	TSPAN3;TM4SF8	Tetraspanin-3
O60639	NA	Mitofusin-1
O60658	PDE8A	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A
O60664	PLIN3;M6PRBP1;TIP47	Perilipin-3
O60669	SLC16A7;MCT2	Monocarboxylate transporter 2
O60683-1	PEX10 	Peroxisome biogenesis factor 10
O60711	LPXN;LDLP	Leupaxin
O60716	CTNND1;KIAA0384	Catenin delta-1
O60716-21	CTNND1	Isoform 3A of Catenin delta-1
O60729	CDC14B	Dual specificity protein phosphatase CDC14B
O60762	DPM1	Dolichol-phosphate mannosyltransferase subunit 1
O60763	USO1;VDP	General vesicular transport factor p115
O60811	PRAMEF2	PRAME family member 2
O60814	HIST1H2BK;H2BFT;HIRIP1	Histone H2B type 1-K
O60828	PQBP1;NPW38;JM26	Polyglutamine-binding protein 1
O60830	TIMM17B;TIM17B;JM3	Mitochondrial import inner membrane translocase subunit Tim17-B
O60831	PRAF2;JM4	PRA1 family protein 2
O60841	EIF5B;IF2;KIAA0741	Eukaryotic translation initiation factor 5B
O60869	EDF1	Endothelial differentiation-related factor 1
O60880	SH2D1A;DSHP;SAP	SH2 domain-containing protein 1A
O60884	DNAJA2;CPR3;HIRIP4	DnaJ homolog subfamily A member 2
O60888	CUTA;ACHAP;C6orf82	Protein CutA
O60909	B4GALT2	Beta-1,4-galactosyltransferase 2
O60925	PFDN1;PFD1	Prefoldin subunit 1
O75027	ABCB7;ABC7	ATP-binding cassette sub-family B member 7, mitochondrial
O75051	PLXNA2;KIAA0463;OCT;PLXN2;UNQ209/PRO235	Plexin-A2
O75052	NOS1AP;CAPON;KIAA0464	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
O75061	DNAJC6;KIAA0473	Putative tyrosine-protein phosphatase auxilin
O75063	FAM20B;KIAA0475	Glycosaminoglycan xylosylkinase
O75083	WDR1	WD repeat-containing protein 1
O75084	FZD7	Frizzled-7
O75096	LRP4;KIAA0816;LRP10;MEGF7	Low-density lipoprotein receptor-related protein 4
O75110-2	ATP9A	Isoform Short of Probable phospholipid-transporting ATPase IIA
O75122	CLASP2;KIAA0627	CLIP-associating protein 2
O75131	CPNE3;CPN3;KIAA0636	Copine-3
O75145	PPFIA3;KIAA0654	Liprin-alpha-3
O75148	NA	Cryptochrome-2
O75155	CAND2;KIAA0667;TIP120B	Cullin-associated NEDD8-dissociated protein 2
O75156	NA	SUN domain-containing protein 2
O75164	KDM4A;JHDM3A;JMJD2;JMJD2A;KIAA0677	Lysine-specific demethylase 4A
O75165	DNAJC13;KIAA0678;RME8	DnaJ homolog subfamily C member 13
O75208	COQ9;C16orf49;HSPC326;PSEC0129	Ubiquinone biosynthesis protein COQ9, mitochondrial
O75251	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial
O75306	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial
O75323	GBAS;NIPSNAP2	Protein NipSnap homolog 2
O75326	SEMA7A;CD108;SEMAL	Semaphorin-7A
O75340	PDCD6;ALG2	Programmed cell death protein 6
O75347	TBCA	Tubulin-specific chaperone A
O75348	ATP6V1G1;ATP6G;ATP6G1;ATP6J	V-type proton ATPase subunit G 1
O75352	MPDU1	Mannose-P-dolichol utilization defect 1 protein
O75368	SH3BGRL	SH3 domain-binding glutamic acid-rich-like protein
O75369	FLNB;FLN1L;FLN3;TABP;TAP	Filamin-B
O75380	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial
O75381	PEX14	Peroxisomal membrane protein PEX14
O75381-2	PEX14	Isoform 2 of Peroxisomal membrane protein PEX14
O75385	ULK1;KIAA0722	Serine/threonine-protein kinase ULK1
O75390	CS	Citrate synthase, mitochondrial
O75396	SEC22B;SEC22L1	Vesicle-trafficking protein SEC22b
O75400	PRPF40A;FBP11;FLAF1;FNBP3;HIP10;HYPA;HSPC225	Pre-mRNA-processing factor 40 homolog A
O75410	TACC1;KIAA1103	Transforming acidic coiled-coil-containing protein 1
O75427	LRCH4;LRN;LRRN1;LRRN4	Leucine-rich repeat and calponin homology domain-containing protein 4
O75431	MTX2	Metaxin-2
O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
O75438-1	NDUFB1 	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
O75443	TECTA	Alpha-tectorin
O75453	NA	Vesicle-associated membrane protein-associated protein A
O75477	ERLIN1;C10orf69;KE04;KEO4;SPFH1	Erlin-1
O75487	GPC4;UNQ474/PRO937	Glypican-4
O75489	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial
O75526	RBMXL2;HNRNPGT	RNA-binding motif protein, X-linked-like-2
O75531	BANF1;BAF;BCRG1	Barrier-to-autointegration factor
O75533	SF3B1;SAP155	Splicing factor 3B subunit 1
O75534	CSDE1;D1S155E;KIAA0885;NRU;UNR	Cold shock domain-containing protein E1
O75558	STX11	Syntaxin-11
O75593	FOXH1;FAST1;FAST2	Forkhead box protein H1
O75607	NPM3	Nucleoplasmin-3
O75643	SNRNP200;ASCC3L1;HELIC2;KIAA0788	U5 small nuclear ribonucleoprotein 200 kDa helicase
O75694	NUP155;KIAA0791	Nuclear pore complex protein Nup155
O75695	RP2	Protein XRP2
O75712	GJB3;CX31	Gap junction beta-3 protein
O75746	SLC25A12;ARALAR1	Calcium-binding mitochondrial carrier protein Aralar1
O75781	PALM;KIAA0270	Paralemmin-1
O75781-1	PALM 	Paralemmin-1
O75787	ATP6AP2;ATP6IP2;CAPER;ELDF10;HT028;MSTP009;PSEC0072	Renin receptor
O75792	RNASEH2A;RNASEHI;RNHIA	Ribonuclease H2 subunit A
O75794	CDC123;C10orf7;D123	Cell division cycle protein 123 homolog
O75821	EIF3G;EIF3S4	Eukaryotic translation initiation factor 3 subunit G
O75830	SERPINI2;MEPI;PI14	Serpin I2
O75844	ZMPSTE24;FACE1;STE24	CAAX prenyl protease 1 homolog
O75874	IDH1;PICD	Isocitrate dehydrogenase [NADP] cytoplasmic
O75880	SCO1;SCOD1	Protein SCO1 homolog, mitochondrial
O75907	DGAT1;AGRP1;DGAT	Diacylglycerol O-acyltransferase 1
O75915	ARL6IP5;DERP11;JWA;PRA2;PRAF3;HSPC127	PRA1 family protein 3
O75923	DYSF;FER1L1	Dysferlin
O75934	BCAS2;DAM1	Pre-mRNA-splicing factor SPF27
O75943	RAD17;R24L	Cell cycle checkpoint protein RAD17
O75947	ATP5H;My032	ATP synthase subunit d, mitochondrial
O75947-1	ATP5H 	ATP synthase subunit d, mitochondrial
O75954	TSPAN9;NET5	Tetraspanin-9
O75955	FLOT1	Flotillin-1
O75964	ATP5L	ATP synthase subunit g, mitochondrial
O75976	CPD	Carboxypeptidase D
O76011	KRT34;HHA4;HKA4;KRTHA4	Keratin, type I cuticular Ha4
O76024	WFS1	Wolframin
O76038	SCGN;SECRET	Secretagogin
O76054	SEC14L2;C22orf6;KIAA1186;KIAA1658	SEC14-like protein 2
O76062	TM7SF2;ANG1	Delta(14)-sterol reductase
O76062-1	TM7SF2 	Delta(14)-sterol reductase
O76070	SNCG;BCSG1;PERSYN;PRSN	Gamma-synuclein
